INST_NAME                ORIGIN_X   ORIGIN_Y  BBOX_LL_X  BBOX_LL_Y  BBOX_UR_X  BBOX_UR_Y
M5.m6                       1.628      4.882      1.488      4.549      1.856      5.117
M4.m6                       1.480      4.882      1.340      4.549      1.708      5.117
M5.m5                       1.332      4.882      1.192      4.549      1.560      5.117
M5.m13                      1.184      4.314      1.044      3.981      1.412      4.549
M4.m12                      1.036      4.314      0.896      3.981      1.264      4.549
M5.m12                      0.888      4.314      0.748      3.981      1.116      4.549
M4.m11                      0.740      4.314      0.600      3.981      0.968      4.549
M4.m22                      1.480      3.746      1.340      3.413      1.708      3.981
M5.m21                      1.332      3.746      1.192      3.413      1.560      3.981
M4.m21                      1.184      3.746      1.044      3.413      1.412      3.981
M3.m16                      2.072      5.450      1.932      5.117      2.300      5.685
M2.m16                      2.220      5.450      2.080      5.117      2.448      5.685
lxDummy_0_M2.m16            2.368      5.450      2.228      5.117      2.596      5.685
lxDummy_0_M3.m8             2.368      6.018      2.228      5.685      2.596      6.253
M2.m15                      1.924      5.450      1.784      5.117      2.152      5.685
M4.m15                      1.924      4.314      1.784      3.981      2.152      4.549
M4.m23                      1.776      3.746      1.636      3.413      2.004      3.981
M5.m22                      1.628      3.746      1.488      3.413      1.856      3.981
lxDummy_0_M5.m8             2.368      4.882      2.228      4.549      2.596      5.117
lxDummy_0_M4.m16            2.368      4.314      2.228      3.981      2.596      4.549
Ntap_extra_first           -0.191      6.256     -0.214      6.253      0.080      6.453
Ntap_0                     -0.091      6.256     -0.288      6.253     -0.068      6.453
Ntap_1                      0.031      6.256      0.008      6.253      0.302      6.453
Ntap_2                      0.179      6.256      0.156      6.253      0.450      6.453
Ntap_3                      0.327      6.256      0.304      6.253      0.598      6.453
Ntap_4                      0.475      6.256      0.452      6.253      0.746      6.453
Ntap_5                      0.623      6.256      0.600      6.253      0.894      6.453
Ntap_6                      0.771      6.256      0.748      6.253      1.042      6.453
M4.m17                      0.000      3.746     -0.140      3.413      0.228      3.981
M5.m32                      2.072      3.178      1.932      2.845      2.300      3.413
M5.m7                       1.924      4.882      1.784      4.549      2.152      5.117
M4.m7                       1.776      4.882      1.636      4.549      2.004      5.117
Ptap_17                     2.399      2.080      2.376      2.077      2.596      2.277
Ptap_16                     2.251      2.080      2.228      2.077      2.522      2.277
M4.m25                      0.148      3.178      0.008      2.845      0.376      3.413
M5.m25                      0.000      3.178     -0.140      2.845      0.228      3.413
lxDummy_0_M6.m1            -0.148      2.610     -0.288      2.277      0.080      2.845
M4.m16                      2.220      4.314      2.080      3.981      2.448      4.549
M5.m26                      0.296      3.178      0.156      2.845      0.524      3.413
M4.m26                      0.444      3.178      0.304      2.845      0.672      3.413
M5.m27                      0.592      3.178      0.452      2.845      0.820      3.413
M4.m27                      0.740      3.178      0.600      2.845      0.968      3.413
M5.m28                      0.888      3.178      0.748      2.845      1.116      3.413
M6.m1                       0.000      2.610     -0.140      2.277      0.228      2.845
M6.m2                       0.148      2.610      0.008      2.277      0.376      2.845
M6.m3                       0.296      2.610      0.156      2.277      0.524      2.845
M6.m4                       0.444      2.610      0.304      2.277      0.672      2.845
M6.m5                       0.592      2.610      0.452      2.277      0.820      2.845
M6.m6                       0.740      2.610      0.600      2.277      0.968      2.845
M5.m16                      2.072      4.314      1.932      3.981      2.300      4.549
Ptap_12                     1.659      2.080      1.636      2.077      1.930      2.277
Ptap_13                     1.807      2.080      1.784      2.077      2.078      2.277
Ntap_15                     2.103      6.256      2.080      6.253      2.374      6.453
Ntap_14                     1.955      6.256      1.932      6.253      2.226      6.453
Ntap_13                     1.807      6.256      1.784      6.253      2.078      6.453
Ntap_12                     1.659      6.256      1.636      6.253      1.930      6.453
Ntap_11                     1.511      6.256      1.488      6.253      1.782      6.453
Ntap_10                     1.363      6.256      1.340      6.253      1.634      6.453
Ntap_9                      1.215      6.256      1.192      6.253      1.486      6.453
Ntap_8                      1.067      6.256      1.044      6.253      1.338      6.453
Ntap_7                      0.919      6.256      0.896      6.253      1.190      6.453
Ntap_16                     2.251      6.256      2.228      6.253      2.522      6.453
Ntap_17                     2.399      6.256      2.376      6.253      2.596      6.453
Ptap_extra_first           -0.191      2.080     -0.214      2.077      0.080      2.277
Ptap_2                      0.179      2.080      0.156      2.077      0.450      2.277
Ptap_3                      0.327      2.080      0.304      2.077      0.598      2.277
Ptap_4                      0.475      2.080      0.452      2.077      0.746      2.277
Ptap_5                      0.623      2.080      0.600      2.077      0.894      2.277
Ptap_6                      0.771      2.080      0.748      2.077      1.042      2.277
Ptap_7                      0.919      2.080      0.896      2.077      1.190      2.277
Ptap_8                      1.067      2.080      1.044      2.077      1.338      2.277
Ptap_9                      1.215      2.080      1.192      2.077      1.486      2.277
Ptap_10                     1.363      2.080      1.340      2.077      1.634      2.277
M4.m8                       2.072      4.882      1.932      4.549      2.300      5.117
M5.m8                       2.220      4.882      2.080      4.549      2.448      5.117
M4.m32                      2.220      3.178      2.080      2.845      2.448      3.413
M4.m13                      1.332      4.314      1.192      3.981      1.560      4.549
M5.m14                      1.480      4.314      1.340      3.981      1.708      4.549
M4.m14                      1.628      4.314      1.488      3.981      1.856      4.549
M5.m15                      1.776      4.314      1.636      3.981      2.004      4.549
M6.m12                      1.628      2.610      1.488      2.277      1.856      2.845
M6.m11                      1.480      2.610      1.340      2.277      1.708      2.845
M6.m10                      1.332      2.610      1.192      2.277      1.560      2.845
M4.m31                      1.924      3.178      1.784      2.845      2.152      3.413
M5.m31                      1.776      3.178      1.636      2.845      2.004      3.413
M4.m30                      1.628      3.178      1.488      2.845      1.856      3.413
M5.m30                      1.480      3.178      1.340      2.845      1.708      3.413
M4.m29                      1.332      3.178      1.192      2.845      1.560      3.413
M5.m29                      1.184      3.178      1.044      2.845      1.412      3.413
M4.m28                      1.036      3.178      0.896      2.845      1.264      3.413
Ptap_extra_last            -0.043      2.080     -0.066      2.077      0.228      2.277
M2.m3                       0.592      6.018      0.452      5.685      0.820      6.253
M3.m3                       0.740      6.018      0.600      5.685      0.968      6.253
M2.m4                       0.888      6.018      0.748      5.685      1.116      6.253
M3.m4                       1.036      6.018      0.896      5.685      1.264      6.253
M2.m5                       1.184      6.018      1.044      5.685      1.412      6.253
Ptap_15                     2.103      2.080      2.080      2.077      2.374      2.277
Ptap_14                     1.955      2.080      1.932      2.077      2.226      2.277
M4.m5                       1.184      4.882      1.044      4.549      1.412      5.117
M4.m9                       0.148      4.314      0.008      3.981      0.376      4.549
M5.m10                      0.296      4.314      0.156      3.981      0.524      4.549
M4.m10                      0.444      4.314      0.304      3.981      0.672      4.549
M5.m11                      0.592      4.314      0.452      3.981      0.820      4.549
Ntap_extra_last            -0.043      6.256     -0.066      6.253      0.228      6.453
Ptap_0                     -0.091      2.080     -0.288      2.077     -0.068      2.277
Ptap_1                      0.031      2.080      0.008      2.077      0.302      2.277
lxDummy_0_M5.m25           -0.148      3.178     -0.288      2.845      0.080      3.413
lxDummy_0_M4.m17           -0.148      3.746     -0.288      3.413      0.080      3.981
lxDummy_0_M5.m9            -0.148      4.314     -0.288      3.981      0.080      4.549
lxDummy_0_M4.m1            -0.148      4.882     -0.288      4.549      0.080      5.117
lxDummy_0_M3.m9            -0.148      5.450     -0.288      5.117      0.080      5.685
lxDummy_0_M2.m1            -0.148      6.018     -0.288      5.685      0.080      6.253
lxDummy_0_M6.m16            2.368      2.610      2.228      2.277      2.596      2.845
lxDummy_0_M4.m32            2.368      3.178      2.228      2.845      2.596      3.413
lxDummy_0_M5.m24            2.368      3.746      2.228      3.413      2.596      3.981
M6.m9                       1.184      2.610      1.044      2.277      1.412      2.845
M6.m8                       1.036      2.610      0.896      2.277      1.264      2.845
M6.m7                       0.888      2.610      0.748      2.277      1.116      2.845
Ptap_11                     1.511      2.080      1.488      2.077      1.782      2.277
M3.m2                       0.444      6.018      0.304      5.685      0.672      6.253
M2.m2                       0.296      6.018      0.156      5.685      0.524      6.253
M3.m1                       0.148      6.018      0.008      5.685      0.376      6.253
M2.m1                       0.000      6.018     -0.140      5.685      0.228      6.253
M5.m24                      2.220      3.746      2.080      3.413      2.448      3.981
M4.m24                      2.072      3.746      1.932      3.413      2.300      3.981
M5.m23                      1.924      3.746      1.784      3.413      2.152      3.981
M3.m5                       1.332      6.018      1.192      5.685      1.560      6.253
M2.m6                       1.480      6.018      1.340      5.685      1.708      6.253
M3.m6                       1.628      6.018      1.488      5.685      1.856      6.253
M2.m7                       1.776      6.018      1.636      5.685      2.004      6.253
M3.m7                       1.924      6.018      1.784      5.685      2.152      6.253
M2.m8                       2.072      6.018      1.932      5.685      2.300      6.253
M3.m8                       2.220      6.018      2.080      5.685      2.448      6.253
M3.m9                       0.000      5.450     -0.140      5.117      0.228      5.685
M2.m9                       0.148      5.450      0.008      5.117      0.376      5.685
M3.m10                      0.296      5.450      0.156      5.117      0.524      5.685
M2.m10                      0.444      5.450      0.304      5.117      0.672      5.685
M3.m11                      0.592      5.450      0.452      5.117      0.820      5.685
M2.m11                      0.740      5.450      0.600      5.117      0.968      5.685
M3.m12                      0.888      5.450      0.748      5.117      1.116      5.685
M2.m12                      1.036      5.450      0.896      5.117      1.264      5.685
M3.m13                      1.184      5.450      1.044      5.117      1.412      5.685
M2.m13                      1.332      5.450      1.192      5.117      1.560      5.685
M3.m14                      1.480      5.450      1.340      5.117      1.708      5.685
M2.m14                      1.628      5.450      1.488      5.117      1.856      5.685
M3.m15                      1.776      5.450      1.636      5.117      2.004      5.685
M5.m4                       1.036      4.882      0.896      4.549      1.264      5.117
M4.m4                       0.888      4.882      0.748      4.549      1.116      5.117
M5.m3                       0.740      4.882      0.600      4.549      0.968      5.117
M4.m3                       0.592      4.882      0.452      4.549      0.820      5.117
M5.m2                       0.444      4.882      0.304      4.549      0.672      5.117
M4.m2                       0.296      4.882      0.156      4.549      0.524      5.117
M5.m1                       0.148      4.882      0.008      4.549      0.376      5.117
M5.m9                       0.000      4.314     -0.140      3.981      0.228      4.549
M5.m17                      0.148      3.746      0.008      3.413      0.376      3.981
M4.m18                      0.296      3.746      0.156      3.413      0.524      3.981
M5.m18                      0.444      3.746      0.304      3.413      0.672      3.981
M4.m19                      0.592      3.746      0.452      3.413      0.820      3.981
M5.m19                      0.740      3.746      0.600      3.413      0.968      3.981
M4.m20                      0.888      3.746      0.748      3.413      1.116      3.981
M5.m20                      1.036      3.746      0.896      3.413      1.264      3.981
M4.m1                       0.000      4.882     -0.140      4.549      0.228      5.117
M6.m16                      2.220      2.610      2.080      2.277      2.448      2.845
M6.m15                      2.072      2.610      1.932      2.277      2.300      2.845
M6.m14                      1.924      2.610      1.784      2.277      2.152      2.845
M6.m13                      1.776      2.610      1.636      2.277      2.004      2.845

# OTA_BOTTOM_LEFT = (-0.288, 2.077)
# OTA_TOP_RIGHT   = (2.596, 6.453)
# OTA_WIDTH       = 2.884
# OTA_HEIGHT      = 4.376
