IDX    NET                               XLL          YLL          XUR          YUR           YC
------------------------------------------------------------------------------------------------
1      gnd!                        -0.208000     2.179000     2.516000     2.215000     2.197000
2      gnd!                        -0.208000     2.724000     2.516000     2.759000     2.742000
3      net23                       -0.133000     2.627000     2.441000     2.663000     2.645000
4      gnd!                        -0.208000     2.439000     2.516000     2.474000     2.457000
5      vb                          -0.060000     2.374000     2.368000     2.409000     2.392000
6      net23                       -0.208000     3.292000     2.516000     3.327000     3.309000
7      net17                       -0.133000     3.196000     2.441000     3.231000     3.213000
8      out                         -0.060000     3.130000     2.368000     3.165000     3.147000
9      net23                       -0.208000     3.007000     2.516000     3.042000     3.024000
10     in1                         -0.060000     2.942000     2.368000     2.978000     2.960000
11     in2                          0.014000     2.871000     2.294000     2.906000     2.888000
12     net23                       -0.208000     3.860000     2.516000     3.895000     3.877000
13     out                         -0.133000     3.764000     2.441000     3.799000     3.781000
14     net17                       -0.060000     3.698000     2.368000     3.733000     3.716000
15     net23                       -0.208000     3.575000     2.516000     3.610000     3.592000
16     in2                         -0.060000     3.510000     2.368000     3.546000     3.528000
17     in1                          0.014000     3.439000     2.294000     3.474000     3.457000
18     net23                       -0.208000     4.428000     2.516000     4.463000     4.446000
19     net17                       -0.133000     4.332000     2.441000     4.367000     4.349000
20     out                         -0.060000     4.266000     2.368000     4.301000     4.284000
21     net23                       -0.208000     4.143000     2.516000     4.178000     4.161000
22     in1                         -0.060000     4.079000     2.368000     4.114000     4.096000
23     in2                          0.014000     4.007000     2.294000     4.042000     4.025000
24     net23                       -0.208000     4.996000     2.516000     5.031000     5.013000
25     out                         -0.133000     4.899000     2.441000     4.934000     4.917000
26     net17                       -0.060000     4.834000     2.368000     4.869000     4.851000
27     net23                       -0.208000     4.711000     2.516000     4.746000     4.729000
28     in2                         -0.060000     4.646000     2.368000     4.681000     4.664000
29     in1                          0.014000     4.575000     2.294000     4.610000     4.593000
30     vdd!                        -0.208000     5.564000     2.516000     5.599000     5.581000
31     net17                       -0.133000     5.468000     2.441000     5.503000     5.485000
32     out                         -0.060000     5.402000     2.368000     5.437000     5.419000
33     vdd!                        -0.208000     5.279000     2.516000     5.314000     5.296000
34     net17                       -0.060000     5.215000     2.368000     5.250000     5.232000
35     vdd!                        -0.208000     6.132000     2.516000     6.167000     6.149000
36     out                         -0.133000     6.035000     2.441000     6.071000     6.053000
37     net17                       -0.060000     5.970000     2.368000     6.005000     5.987000
38     vdd!                        -0.208000     5.847000     2.516000     5.882000     5.865000
39     net17                       -0.060000     5.782000     2.368000     5.817000     5.800000
40     vdd!                        -0.208000     6.356000     2.516000     6.391000     6.373000

SUMMARY: kept=40  missing_in_design=4  parsed_from_report=44
