# place_m2_grid_from_bboxfile.tcl report (per-corner PROBE on 3rd strap, createVia, REVERSED)
# inFile=/home/users/svgplayout2601mofikry/gonna_work/1st_script_op.txt
# otaLL=(0.483,-2.423) otaUR=(3.367,1.953)
# rowTol=0.01 strapHeight=0.036
# FIRST_OFFSETS=0.0705 0.168 0.272 0.4005 0.498 0.5245
# SECOND_OFFSETS=0.0723 0.168 0.183 0.304 0.402 0.503
# A1_XINSETS=0.0 0.0 0 0.148 0.148 0.148
# A2_XINSETS=0.148 0.148 0.148 0.0 0.0 0
# probe: idx=2 xFromRight=0.03 (from strap right edge)
# via: def=VIA12 orient=R0
# lppM2=M2 drawing
# parsed good=166 bad=0 rows=9

# ROW 0/8  TOP=-2.223  APPROACH=EDGE (endOffset only)
ROW 0/8  TOP=-2.223  off=0.080  Yc=-2.303  BB=(0.563 -2.321)-(3.287 -2.285)

# ROW 1/8  TOP=-1.655  APPROACH1 (probeNet='gnd!')
ROW 1/8  TOP=-1.655  off=0.070  Yc=-1.726  BB=(0.563 -1.744)-(3.287 -1.708)
ROW 1/8  TOP=-1.655  off=0.168  Yc=-1.823  BB=(0.563 -1.841)-(3.287 -1.805)
ROW 1/8  TOP=-1.655  off=0.272  Yc=-1.927  BB=(0.563 -1.945)-(3.287 -1.909)
ROW 1/8  TOP=-1.655  off=0.401  Yc=-2.055  BB=(0.711 -2.074)-(3.139 -2.038)
ROW 1/8  TOP=-1.655  off=0.498  Yc=-2.153  BB=(0.711 -2.171)-(3.139 -2.135)

# ROW 2/8  TOP=-1.087  APPROACH2 (probeNet='')
ROW 2/8  TOP=-1.087  off=0.072  Yc=-1.159  BB=(0.711 -1.177)-(3.139 -1.141)
ROW 2/8  TOP=-1.087  off=0.168  Yc=-1.255  BB=(0.711 -1.273)-(3.139 -1.237)
ROW 2/8  TOP=-1.087  off=0.304  Yc=-1.391  BB=(0.563 -1.409)-(3.287 -1.373)
ROW 2/8  TOP=-1.087  off=0.402  Yc=-1.489  BB=(0.563 -1.507)-(3.287 -1.471)
ROW 2/8  TOP=-1.087  off=0.503  Yc=-1.590  BB=(0.563 -1.608)-(3.287 -1.572)

# ROW 3/8  TOP=-0.519  APPROACH1 (probeNet='net23')
ROW 3/8  TOP=-0.519  off=0.070  Yc=-0.590  BB=(0.563 -0.608)-(3.287 -0.572)
ROW 3/8  TOP=-0.519  off=0.168  Yc=-0.687  BB=(0.563 -0.705)-(3.287 -0.669)
ROW 3/8  TOP=-0.519  off=0.272  Yc=-0.791  BB=(0.563 -0.809)-(3.287 -0.773)
ROW 3/8  TOP=-0.519  off=0.401  Yc=-0.919  BB=(0.711 -0.938)-(3.139 -0.901)
ROW 3/8  TOP=-0.519  off=0.498  Yc=-1.017  BB=(0.711 -1.035)-(3.139 -0.999)

# ROW 4/8  TOP=0.049  APPROACH2 (probeNet='')
ROW 4/8  TOP=0.049  off=0.072  Yc=-0.023  BB=(0.711 -0.041)-(3.139 -0.005)
ROW 4/8  TOP=0.049  off=0.168  Yc=-0.119  BB=(0.711 -0.137)-(3.139 -0.101)
ROW 4/8  TOP=0.049  off=0.304  Yc=-0.255  BB=(0.563 -0.273)-(3.287 -0.237)
ROW 4/8  TOP=0.049  off=0.402  Yc=-0.353  BB=(0.563 -0.371)-(3.287 -0.335)
ROW 4/8  TOP=0.049  off=0.503  Yc=-0.454  BB=(0.563 -0.472)-(3.287 -0.436)

# ROW 5/8  TOP=0.617  APPROACH2 (probeNet='')
ROW 5/8  TOP=0.617  off=0.072  Yc=0.545  BB=(0.711 0.527)-(3.139 0.563)
ROW 5/8  TOP=0.617  off=0.168  Yc=0.449  BB=(0.711 0.431)-(3.139 0.467)
ROW 5/8  TOP=0.617  off=0.304  Yc=0.313  BB=(0.563 0.295)-(3.287 0.331)
ROW 5/8  TOP=0.617  off=0.402  Yc=0.215  BB=(0.563 0.197)-(3.287 0.233)
ROW 5/8  TOP=0.617  off=0.503  Yc=0.114  BB=(0.563 0.096)-(3.287 0.132)

# ROW 6/8  TOP=1.185  APPROACH2 (probeNet='')
ROW 6/8  TOP=1.185  off=0.072  Yc=1.113  BB=(0.711 1.095)-(3.139 1.131)
ROW 6/8  TOP=1.185  off=0.168  Yc=1.017  BB=(0.711 0.999)-(3.139 1.035)
ROW 6/8  TOP=1.185  off=0.304  Yc=0.881  BB=(0.563 0.863)-(3.287 0.899)
ROW 6/8  TOP=1.185  off=0.402  Yc=0.783  BB=(0.563 0.765)-(3.287 0.801)
ROW 6/8  TOP=1.185  off=0.503  Yc=0.682  BB=(0.563 0.664)-(3.287 0.700)

# ROW 7/8  TOP=1.753  APPROACH1 (probeNet='vdd!')
ROW 7/8  TOP=1.753  off=0.070  Yc=1.682  BB=(0.563 1.665)-(3.287 1.700)
ROW 7/8  TOP=1.753  off=0.168  Yc=1.585  BB=(0.563 1.567)-(3.287 1.603)
ROW 7/8  TOP=1.753  off=0.272  Yc=1.481  BB=(0.563 1.463)-(3.287 1.499)
ROW 7/8  TOP=1.753  off=0.401  Yc=1.352  BB=(0.711 1.335)-(3.139 1.371)
ROW 7/8  TOP=1.753  off=0.498  Yc=1.255  BB=(0.711 1.237)-(3.139 1.273)

# ROW 8/8  TOP=1.953  APPROACH=EDGE (endOffset only)
ROW 8/8  TOP=1.953  off=0.080  Yc=1.873  BB=(0.563 1.855)-(3.287 1.891)

